night,title,author,index_code
294,謎の神代文字,佐治芳彦,8
295,二重らせんの私,柳澤桂子,2
296,ルネサンス博物問答,ベルナール・パリシー,5
297,ハリウッド脚本術,ニール・Ｄ・ヒックス,8
298,春日井建歌集,春日井建,5
299,イメージの歴史,若桑みどり,3
300,白鯨,ハーマン・メルヴィル,5
301,一の糸,有吉佐和子,5
302,エロス的文明,ハーバート・マルクーゼ,3
303,下等百科辞典,尾佐竹猛,7
304,乱の王女,生島治郎,6
305,イスラーム経済論,ムハンマド・バーキルッ＝サドル,4
306,デジタル・ストーリーテリング,ジャネット・マレー,8
307,説経節,荒木繁･山本吉左右編注,5
308,形の冒険,ランスロット・ロウ・ホワイト,2
309,古代憧憬と機械信仰,ホルスト・ブレーデカンプ,1
310,反骨の系譜,青地晨,6
311,理科年表を楽しむ本,上西一郎,1
312,サラダ記念日,俵万智,5
313,神の生物学,アリスター・ハーディ,2
314,オブジェ焼き,八木一夫,5
315,わたしの渡世日記,高峰秀子,7
316,魔の山,トーマス・マン,5
317,悲しき熱帯,レヴィ＝ストロース,3
318,メイプルソープ,パトリシア・モリズロー,5
319,日本外史,頼山陽,6
320,美の本体,岸田劉生,5
321,夏と花火と私の死体,乙一,5
322,裸のサル,デズモンド・モリス,2
323,横浜富貴楼お倉,鳥居民,6
324,ガリヴァ旅行記,ジョナサン・スウィフト,5
325,おどりの美学,郡司正勝,5
326,人間というこわれやすい種,ルイス・トマス,2
327,吉田茂とその時代,ジョン・ダワー,6
328,北風とぬりえ,谷内六郎,5
329,忘れられた名文たち,鴨下信一,8
330,山頭火句集,種田山頭火,5
331,長江文明の発見,徐朝龍,6
332,月と六ペンス,サマセット・モーム,5
333,アンチキリスト,パーナード・マッギン,6
334,鳥の歌,パブロ・カザルス,5
335,天工開物,宋應星,3
336,思想のドラマトゥルギー,林達夫・久野収,3
337,赤と黒,スタンダール,5
338,氷川清話,勝海舟,6
339,漂着物事典,石井忠,1
340,ギンズバーグ詩集,アレン・ギンズバーグ,5
341,人間の条件,ハンナ・アレント,3
342,時代の未明から来たるべきものへ,間章,5
343,私というひとり,篠田桃紅,5
344,読みなおし日本文学史,高橋睦郎,5
345,諸原理について,オリゲネス,3
346,泥棒日記,ジャン・ジュネ,5
347,書斎,アンドルー・ラング,8
348,日本の星,野尻抱影,1
349,物質と光,ルイ・ドゥ・ブロイ,1
350,ＴＵＧＵＭＩ,吉本ばなな,5
351,山羊の歌,中原中也,5
352,柳生武芸帳,五味康祐,3
353,スペ－ドの女王 ベールキン物語,アレクサンドル・プーシキン,5
354,宇宙船地球号操縦マニュアル,バックミンスター・フラー,1
355,春鴬囀,岡崎清一郎,5
356,草庭,堀口捨己,5
357,千字文,周興嗣,8
358,現代思想としての環境問題,佐倉統,1
359,マリア,クラウス・シュライナー,6
360,存在の耐えられない軽さ,ミラン・クンデラ,5
361,李陵・弟子・名人伝,中島敦,5
362,小学生の俳句歳時記,金子兜太・あらきみほ,8
363,マルタの鷹,ダシール・ハメット,5
364,南国太平記,直木三十五,5
365,ガリア戦記,ユリウス・カエサル,6
366,意識の進化と神秘主義,セオドア・ローザク,3
367,徒然草,吉田兼好,6
368,エントロピーと秩序,ピーター・Ｗ・アトキンス,1
369,江戸っ子芸者一代記,中村喜春,5
370,蘭学事始,杉田玄白,2
371,日本の名匠,海音寺潮五郎,5
372,アウトサイダー,コリン・ウィルソン,6
373,テレーズ・デスケルウ,フランソワ・モーリアック,5
374,百姓の一筆,田中佳宏,7
375,長安の春,石田幹之助,6
376,ゾロアスター教,メアリー・ボイス,6
377,宇宙の神秘,ヨハネス・ケプラー,1
378,化城の昭和史,寺内大吉,6
379,大工道具の歴史,村松貞次郎,5
380,吸血鬼ドラキュラ,ブラム・ストーカー,5
381,身ぶりと言葉,アンドレ・ルロワ＝グーラン,8
382,日本アルプス,ウォルター・ウェストン,1
383,読書の歴史,アルベルト・マングェル,8
384,はみ出し者の進化論,奥井一満,2
385,剣禅話,山岡鉄舟,3
386,都林泉名勝図会,秋里籬島,5
387,からごころ,長谷川三千子,3
388,ルポライター事始,竹中労,7
389,十五少年漂流記,ジュール・ヴェルヌ,5
390,ドイツ国民に告ぐ,ヨハン・ゴットフリート・フィヒテ,6
391,沈黙の王,宮城谷昌光,8
392,マルローとの対話,竹本忠雄,5
393,楢山節考,深沢七郎,5
394,餃子ロード,甲斐大策,6
395,ロベルトは今夜,ピエール・クロソウスキー,5
396,フォーカスな人たち,井田真木子,7
397,歎異抄,親鸞・唯円,3
398,ユダヤ国家のパレスチナ人,デイヴィッド・グロスマン,7
399,省略の文学,外山滋比古,8
400,ドグラ・マグラ,夢野久作,5
401,文様の博物誌,吉田光邦,3
402,ダスト,チャールズ・ペレグリーノ,2
403,夫婦善哉,織田作之助,5
404,未来の記憶,エレナ・ガーロ,5
405,一年有半・続一年有半,中江兆民,6
406,煎茶への招待,小川後楽,5
407,デイヴィッド・コパフィールド,チャールズ・ディケンズ,5
408,日本語を書く部屋,リービ英雄,8
409,神道の成立,高取正男,6
410,蝿の王,ウィリアム・ゴールディング,5
411,セクハラ防止完全マニュアル,金子雅臣,7
412,文明論之概略,福澤諭吉,3
413,寺山修司全歌集,寺山修司,5
414,性の起源,リン・マーグリス＆ドリオン・セーガン,2
415,日本架空伝承人名事典,大隅和雄･西郷信綱ほか,6
416,東ゴート興亡史,松谷健二,6
417,世界劇場,フランセス・イエイツ,3
418,宇宙をぼくの手の上に,フレドリック・ブラウン,5
419,枕草子,清少納言,5
420,呪術師と私,カルロス・カスタネダ,3
421,カストリ時代,林忠彦,7
422,情報宇宙論,室井尚,1
423,鍋とランセット,イヴ＝マリ・ベルセ,2
424,尾崎翠全集,尾崎翠,5
425,正名と狂言,大室幹雄,3
426,フランダースの犬,ウィーダ,5
427,民藝四十年,柳宗悦,5
428,地球幼年期の終わり,アーサー・Ｃ・クラーク,5
429,ねじの回転,ヘンリー・ジェイムズ,5
